时间,价格,数量
1566,289,127263
1567,289,130869
1568,287,144291
1569,286,123783
1570,286,122205
1571,284,128290
1572,285,134889
1573,284,136590
1574,286,124658
1575,286,121466
1576,287,118922
1577,288,129537
1578,286,127345
1579,287,124255
1580,287,119710
1581,283,134381
1582,279,125489
1583,277,122480
1584,278,118636
1585,278,135426
1586,279,133427
1587,283,124809
1588,282,129045
1589,280,134287
1590,281,128308
1591,282,127215
1592,284,129413
1593,286,138458
1594,289,121163
1595,290,116263
1596,291,129373
1597,292,122976
1598,290,114407
1599,290,113627
1600,289,111154
1601,288,122325
1602,287,113261
1603,286,126030
1604,289,100825
1605,289,125097
1606,290,123623
1607,291,133633
1608,291,122206
1609,291,113440
1610,290,115927
1611,290,134935
1612,290,134896
1613,290,119705
1614,291,129033
1615,292,132118
1616,290,129236
1617,290,116935
1618,289,134299
1619,291,133101
1620,292,111115
1621,293,122477
1622,291,125472
1623,290,141124
1624,292,116079
1625,291,134974
1626,293,109841
1627,293,130912
1628,295,134276
1629,293,122767
1630,294,102175
1631,294,115027
1632,295,118403
1633,295,128778
1634,296,127006
1635,295,119625
1636,294,133681
1637,294,133999
1638,292,128004
1639,292,120914
1640,291,122899
1641,289,135248
1642,289,121509
1643,287,125605
1644,290,129564
1645,288,112108
1646,286,129355
1647,286,125363
1648,286,133829
1649,283,135609
1650,284,131019
1651,283,119755
1652,281,122766
1653,282,126326
1654,282,135005
1655,281,141358
1656,281,130663
1657,280,139194
1658,281,134983
1659,283,128225
1660,282,122064
1661,282,117763
1662,279,129703
1663,281,120667
1664,279,134907
1665,280,135048
1666,281,121020
1667,281,125170
1668,281,144083
1669,281,130680
1670,283,110272
1671,282,151044
1672,285,123913
1673,286,121008
1674,288,121635
1675,288,121761
1676,288,117813
1677,288,127373
1678,290,137256
1679,291,137873
1680,290,122289
1681,290,121886
1682,290,126254
1683,289,134076
1684,290,127738
1685,292,118897
1686,290,125246
1687,291,114719
1688,293,124319
1689,293,124691
1690,290,121691
1691,289,120353
1692,291,117495
1693,289,111512
1694,289,129470
1695,288,119831
1696,289,111397
1697,288,125102
1698,287,121654
1699,288,106591
1700,288,128290
1701,288,137745
1702,288,122402
1703,288,119882
1704,288,108698
1705,291,128949
1706,293,123452
1707,294,127187
1708,295,128502
1709,295,108418
1710,294,126661
1711,292,129731
1712,291,126677
1713,292,131209
1714,291,123930
1715,291,122790
1716,294,119863
1717,291,139517
1718,290,130568
1719,292,111214
1720,292,128414
1721,294,125484
1722,291,122414
1723,291,135164
1724,294,119165
1725,294,120360
1726,292,143346
1727,292,101495
1728,292,146546
1729,290,126105
1730,289,137439
1731,288,126990
1732,289,118147
1733,287,112910
1734,287,136492
1735,285,134067
1736,286,127261
1737,287,118024
1738,287,114269
1739,289,126043
1740,292,114911
1741,290,134816
1742,291,121066
1743,289,111363
1744,291,109082
1745,290,120684
1746,289,118252
1747,291,120496
1748,291,129560
1749,292,127681
1750,291,132093
1751,293,120499
1752,292,117951
1753,294,125865
1754,292,113598
1755,291,119015
1756,290,117595
1757,292,128004
1758,294,126831
1759,295,123617
1760,293,115024
1761,293,123013
1762,295,133911
1763,293,150770
1764,293,120043
1765,293,126000
1766,293,138419
1767,294,121283
1768,295,129531
1769,296,135576
1770,295,136168
1771,294,115486
1772,296,118011
1773,293,136751
1774,291,109194
1775,290,117225
1776,290,127889
1777,288,131673
1778,286,118467
1779,286,106014
1780,284,136989
1781,285,116786
1782,287,116636
1783,287,130633
1784,289,114914
